Date,Clics,Impressions,CTR,Position
2026-08-15,2,674,0.3%,42.6
2026-08-16,0,697,0%,45.3
2026-08-17,1,637,0.16%,45.9
2026-08-18,1,543,0.18%,48.5
2026-08-19,0,558,0%,48.3
2026-08-20,1,575,0.17%,44.2
2026-08-21,1,546,0.18%,40.5
2026-08-22,0,470,0%,41.5
2026-08-23,1,447,0.22%,40.2
2026-08-24,0,478,0%,42.9
2026-08-25,0,559,0%,40.7
2026-08-26,1,507,0.2%,41.8
2026-08-27,0,585,0%,39.9
2026-08-28,1,595,0.17%,38.6
2026-08-29,1,563,0.18%,41.1
2026-08-30,1,724,0.14%,41.7
2026-08-31,1,765,0.13%,40.4
2026-09-01,0,816,0%,40.8
2026-09-02,0,809,0%,42.2
2026-09-03,0,810,0%,42.9
2026-09-04,1,834,0.12%,42.8
2026-09-05,0,817,0%,44
2026-09-06,0,897,0%,42.1
2026-09-07,1,901,0.11%,41.2
2026-09-08,1,942,0.11%,44.9
2026-09-09,2,890,0.22%,43.1
2026-09-10,0,781,0%,42.9
2026-09-11,0,698,0%,41.3
