Pays,Clics,Impressions,CTR,Position
États-Unis,9,6661,0.14%,41.21
Maroc,2,23,8.7%,32.96
Philippines,1,2100,0.05%,34.93
Pays-Bas,1,446,0.22%,53.35
Népal,1,90,1.11%,32.69
Irlande,1,72,1.39%,28.53
République tchèque,1,59,1.69%,40.97
Turquie,1,44,2.27%,45.3
Royaume-Uni,0,2102,0%,46.95
Inde,0,856,0%,43.12
Canada,0,690,0%,37.74
Brésil,0,593,0%,52.61
Australie,0,589,0%,40.04
Allemagne,0,538,0%,46.89
Mexique,0,439,0%,48.13
Italie,0,239,0%,49.22
Indonésie,0,220,0%,42.8
Japon,0,192,0%,52.2
Afrique du Sud,0,162,0%,39.67
Argentine,0,125,0%,48.66
Singapour,0,124,0%,43.07
Colombie,0,123,0%,57.13
Malaisie,0,112,0%,39.62
Espagne,0,109,0%,43.66
Nouvelle-Zélande,0,103,0%,38.6
France,0,97,0%,43.25
Pologne,0,90,0%,42.08
Suède,0,85,0%,42.31
Thaïlande,0,84,0%,47.1
Chili,0,77,0%,50.94
Hong-Kong,0,76,0%,54.39
Émirats Arabes Unis,0,73,0%,32.95
Corée du Sud,0,73,0%,51.26
Sri Lanka,0,69,0%,38.33
Grèce,0,62,0%,37.44
Vietnam,0,57,0%,51.35
Taïwan,0,53,0%,55.55
Danemark,0,46,0%,38.33
Belgique,0,44,0%,38.75
Roumanie,0,43,0%,40.95
Nigéria,0,42,0%,32.33
Autriche,0,42,0%,46.5
Pérou,0,40,0%,57.85
Hongrie,0,39,0%,39.85
Finlande,0,39,0%,45.9
Croatie,0,37,0%,33.65
Équateur,0,36,0%,52.53
République Dominicaine,0,35,0%,47.43
Myanmar (Birmanie),0,34,0%,39.76
Suisse,0,33,0%,40.94
Portugal,0,30,0%,43.23
Arabie Saoudite,0,30,0%,45.67
Costa Rica,0,30,0%,56.97
Iran,0,26,0%,35.38
Norvège,0,26,0%,39.77
Bulgarie,0,26,0%,47.35
Bangladesh,0,24,0%,46.54
Jamaïque,0,23,0%,37.04
Porto Rico,0,23,0%,45.48
Cambodge,0,22,0%,43.77
Ukraine,0,22,0%,54.91
Guatemala,0,20,0%,46.9
Russie,0,19,0%,40.47
Panama,0,19,0%,56.89
Géorgie,0,18,0%,36.5
Serbie,0,18,0%,37.06
Israël,0,18,0%,40
Qatar,0,18,0%,46.22
Chypre,0,17,0%,29.12
Kenya,0,17,0%,39.41
Mongolie,0,17,0%,45.82
Éthiopie,0,17,0%,48.82
Pakistan,0,16,0%,42.56
Uruguay,0,16,0%,67.19
Malte,0,14,0%,26.07
Trinité-et-Tobago,0,14,0%,35.64
Slovaquie,0,14,0%,40.86
El Salvador,0,13,0%,50.69
Slovénie,0,12,0%,43.67
Paraguay,0,12,0%,49.58
Lettonie,0,11,0%,43.55
Égypte,0,11,0%,47.18
Albanie,0,10,0%,29.6
Ghana,0,9,0%,30.89
Kazakhstan,0,9,0%,30.89
Belize,0,9,0%,49.67
Lituanie,0,9,0%,62
Azerbaïdjan,0,9,0%,65.33
Solomon (Îles),0,8,0%,9.88
Luxembourg,0,8,0%,29.25
Man (Île),0,8,0%,32.62
Arménie,0,7,0%,17.43
Venezuela,0,7,0%,27
Ouganda,0,7,0%,27.14
Bahamas,0,7,0%,33.14
Papouasie-Nouvelle Guinée,0,7,0%,38.71
Oman,0,7,0%,52.14
Nicaragua,0,7,0%,59.86
Bolivie,0,7,0%,70.71
Surinam,0,6,0%,32.67
Koweït,0,6,0%,35.17
Zimbabwe,0,6,0%,44.5
Guam,0,5,0%,17.6
Sainte-Lucie,0,5,0%,21
Macao,0,5,0%,23.4
Brunei,0,5,0%,28.6
Fidji,0,5,0%,34.6
Bahreïn,0,5,0%,44
Bosnie-Herzégovine,0,5,0%,55.2
Maurice (Île),0,4,0%,36.25
Liban,0,4,0%,42
Ouzbékistan,0,4,0%,49.25
Grenade,0,4,0%,70.75
Estonie,0,4,0%,76.5
Kosovo,0,3,0%,1.67
Guyane,0,3,0%,13.33
Mozambique,0,3,0%,23
Botswana,0,3,0%,25.33
Chine,0,3,0%,25.33
Tunisie,0,3,0%,36
Islande,0,3,0%,39
Cameroun,0,3,0%,43.33
Algérie,0,3,0%,45.67
Angola,0,3,0%,48.33
Irak,0,3,0%,53
Aruba,0,2,0%,11
Barbade (La),0,2,0%,15.5
Réunion (Île de la),0,2,0%,17.5
Curaçao,0,2,0%,19.5
Mariannes du Nord (Commonwealth des îles),0,2,0%,25.5
Togo,0,2,0%,26
Moldavie,0,2,0%,32
Samoa,0,2,0%,36
Lesotho,0,2,0%,37.5
Bhutan,0,2,0%,60
Honduras,0,2,0%,62.5
Jordanie,0,2,0%,63.5
Timor oriental,0,2,0%,70.5
Rwanda,0,2,0%,72
République démocratique du Congo,0,1,0%,16
Libye,0,1,0%,18
Îles Vierges américaines,0,1,0%,19
Seychelles,0,1,0%,20
Côte d'Ivoire,0,1,0%,25
Sint Maarten,0,1,0%,27
Malawi,0,1,0%,30
Mauritanie,0,1,0%,37
Samoa américaines,0,1,0%,40
Sénégal,0,1,0%,43
Macédoine,0,1,0%,46
Saint-Christophe-et-Niévès,0,1,0%,49
Madagascar,0,1,0%,56
Tadjikistan,0,1,0%,70
Kirghizistan,0,1,0%,83
Syrie,0,1,0%,86
Cuba,0,1,0%,89
Swaziland,0,1,0%,89
Afghanistan,0,1,0%,97
